E,A,3,2, 6.9000983
B,C,3,1, 3.899964
C,A,5,2, 0.5437528
B,A,6,5, 0.8062546
A,A,4,3, 1.1062483
E,C,6,5, 0.39375174
B,E,4,2, 0.35625148
B,B,3,2, 4.299977
C,B,3,1, 3.899964
A,D,4,1, 0.2437507
B,D,3,2, 4.0999675
B,A,3,2, 5.500033
B,B,3,1, 4.499986
C,D,4,1, 0.20625044
C,E,4,2, 0.20625044
B,D,6,5, 0.5062525
D,D,3,2, 1.4999949
C,C,6,5, 0.5062525
D,A,3,1, 2.499982
D,B,4,2, 0.35625148
D,A,6,5, 0.431252
E,E,3,2, 1.1
A,B,4,2, 0.8062546
C,E,6,5, 0.46875226
D,C,3,1, 0.9000011
B,B,5,4, 0.5437528
A,C,5,4, 0.5062525
D,B,4,1, 0.69375384
A,C,4,2, 0.58125305
E,A,5,4, 0.58125305
D,B,3,2, 1.6999923
A,A,4,2, 0.88125515
C,E,3,1, 1.2999974
B,C,4,2, 0.5062525
E,C,4,2, 0.13124992
C,D,3,1, 1.4999949
B,A,5,3, 0.6562536
C,B,5,4, 0.5437528
B,E,3,2, 4.6999955
D,A,3,2, 2.6999795
E,A,4,3, 1.2187401
D,B,5,4, 0.39375174
B,A,4,1, 0.8062546
E,E,3,1, 0.7000007
C,B,3,2, 4.499986
A,C,6,5, 0.5062525
B,E,6,5, 0.46875226
D,A,4,2, 0.28125095
B,A,4,3, 1.068751
A,C,4,1, 0.35625148
B,D,4,3, 1.0312537
B,B,6,5, 0.5437528
E,A,4,2, 0.99375594
C,A,4,3, 1.0312537
E,C,3,1, 1.1
A,D,5,4, 0.5062525
A,A,3,1, 5.3000236
C,B,4,2, 0.5062525
C,C,3,1, 1.8999897
A,D,4,2, 0.46875226
C,A,6,3, 0.5437528
D,A,4,1, 1.0312537
E,D,3,1, 0.9000011
A,E,6,5, 0.5062525
D,E,3,1, 0.5000003
B,B,4,3, 0.99375594
A,E,3,2, 4.499986
B,C,3,2, 4.499986
B,C,6,5, 0.46875226
B,E,3,1, 3.6999667
E,D,4,3, 0.9187554
C,A,3,2, 5.100014
B,A,5,4, 0.8062546
B,B,4,1, 0.58125305
C,A,6,1, 0.5437528
E,E,5,4, 0.28125095
A,A,5,3, 0.69375384
C,A,6,2, 0.5437528
A,C,3,2, 4.6999955
E,D,4,2, 0.431252
C,D,5,4, 0.5062525
A,D,3,1, 4.0999675
C,A,6,5, 0.76875436
E,C,4,1, 0.28125095
A,B,3,2, 4.499986
B,E,4,1, 0.20625044
C,B,4,3, 0.88125515
A,D,6,5, 0.5062525
B,E,5,4, 0.46875226
D,D,4,3, 0.35625148
D,C,4,3, 0.5437528
B,D,4,1, 0.2437507
B,C,4,3, 0.9562557
C,C,5,4, 0.5062525
A,B,3,1, 4.6999955
C,B,6,5, 0.5437528
E,E,4,3, 0.8437549
E,B,3,2, 1.8999897
E,B,6,5, 0.431252
A,E,4,3, 1.1437455
B,B,4,2, 0.7312541
E,E,4,2, 0.5062525
C,B,4,1, 0.431252
D,A,5,4, 0.431252
A,B,4,1, 0.6187533
C,A,3,1, 4.299977
E,D,3,2, 1.2999974
C,C,3,2, 4.299977
D,D,3,1, 0.7000007
A,E,4,2, 0.46875226
B,D,5,4, 0.5062525
E,C,5,4, 0.39375174
D,C,3,2, 1.2999974
A,E,5,4, 0.5062525
C,C,4,2, 0.35625148
A,A,5,4, 0.8062546
C,A,5,4, 0.76875436
C,E,4,1, 0.5437528
C,D,6,5, 0.46875226
A,A,6,5, 0.8062546
C,E,4,3, 1.068751
D,B,3,1, 1.2999974
B,E,4,3, 1.1062483
E,B,5,4, 0.431252
E,C,4,3, 0.8062546
B,A,4,2, 0.8437549
A,C,3,1, 3.899964
A,A,4,1, 0.8437549
B,A,3,1, 5.100014
B,C,5,4, 0.46875226
A,E,4,1, 0.2437507
A,B,5,4, 0.58125305
D,A,4,3, 0.7312541
E,A,4,1, 0.88125515
D,B,4,3, 0.58125305
C,A,4,2, 0.76875436
C,C,4,3, 0.9187554
E,D,6,5, 0.31875122
E,B,4,1, 1.1812428
B,D,3,1, 3.899964
E,E,6,5, 0.28125095
B,D,4,2, 0.39375174
C,C,4,1, 0.2437507
A,B,6,5, 0.58125305
C,E,3,2, 4.0999675
E,A,3,1, 7.1001077
E,B,4,3, 0.99375594
E,C,3,2, 1.4999949
E,B,3,1, 1.4999949
C,D,4,2, 0.2437507
C,D,3,2, 1.8999897
A,B,4,3, 1.0312537
A,D,3,2, 4.6999955
B,C,4,1, 0.28125095
A,C,4,3, 0.99375594
D,E,3,2, 0.9000011
C,A,5,1, 0.5437528
A,E,3,1, 3.899964
A,D,4,3, 1.1062483
C,A,4,1, 0.7312541
E,A,6,5, 0.58125305
C,E,5,4, 0.46875226
E,B,4,2, 0.58125305
D,B,6,5, 0.35625148
A,A,3,2, 5.7000422
E,D,5,4, 0.31875122
C,D,4,3, 0.9562557
