  0.030  -0.145   0.150   0.814   0.589   0.576  -0.411   0.333   0.903  -0.565   0.714   2.027  -0.199  -0.165  -0.087   1.541   0.718  -0.626   0.450   0.728  -0.728  -1.343   1
  0.030  -0.273   0.297   0.383   0.365   0.475  -0.641   1.984  -0.343  -0.565   0.766   0.168  -0.175  -0.161  -0.012   1.226   0.802   1.237  -0.716  -0.247   0.351  -1.391   1
  0.054   0.357   1.317   0.455   0.598   0.693  -0.641   0.337   1.056  -0.507   0.628   0.108  -0.148  -0.158  -0.016   1.120   0.593   0.485  -0.378   0.327  -0.027  -0.390   1
 -0.432  -0.422   0.113   0.201   0.403   0.496  -0.457   1.298   0.047  -0.494   0.404  -0.224  -0.226  -0.176  -0.174   0.680   0.802   0.628  -0.227   0.382   0.621  -0.771   1
 -0.103  -0.025   0.537   0.358   0.321   0.412  -0.300   1.356  -0.084  -0.565   0.710  -0.244  -0.230 ?  -0.192 ?   0.802   0.485  -0.716   0.665  -0.944  -1.772   1
 -0.393  -0.574  -0.110   0.279   0.505   0.584  -0.378   1.714  -0.349  -0.520   0.743  -0.248  -0.231  -0.179  -0.193   1.599   0.673   0.485  -0.378   0.382  -0.027  -1.820   1
 -0.421  -0.268   0.415   0.489   0.443   0.547  -0.566   1.298   0.162  -0.520   0.871  -0.243  -0.230  -0.179  -0.192   1.487   0.833  -0.268  -0.378   0.123   0.405  -0.390   1
 -1.116   0.003   0.365   0.713   0.491   0.574  -0.555   1.436   0.063  -0.565   0.477  -0.238  -0.230  -0.179  -0.189   1.512   0.593  -0.411   0.563   0.382  -0.512  -3.965   1
 -0.019  -0.521  -0.143   0.475   0.477  -0.073  -0.468   1.327   0.085  -0.565   0.576  -0.205  -0.231  -0.179  -0.111   1.599   0.820  -0.411  -0.227   0.634  -0.728  -1.772   1
  0.224  -0.308   0.167   0.991   0.443  -0.078  -0.386   0.238   0.347   0.290   0.978  -0.244  -0.230  -0.179  -0.191   0.691  -0.051  -1.593  -0.716  -0.703   0.405   0.230   1
  0.256  -0.604   0.271   0.508   0.579   0.658  -0.641   2.485  -0.825  -0.503   0.905  -0.240  -0.214  -0.173   0.423  -0.410   0.722  -0.124   0.074   0.351   0.405  -1.582   1
 -0.234  -0.521  -1.194  -0.077  -0.639  -1.172   3.108  -0.858  -1.052  -0.565   0.866  -0.230  -0.217  -0.175  -0.187   0.368  -0.402  -1.163   1.767  -0.019   0.351   0.564  -1
 -2.057  -1.606  -1.779  -1.506  -0.592  -0.704  -0.225   0.117  -0.838   1.907  -0.878   0.145   0.084  -0.110  -0.029   0.518  -1.290  -1.593   2.106  -0.507   0.621   0.802  -1
 -1.138  -0.521  -2.166  -1.366  -3.000  -2.542  -0.641  -0.858  -1.052  -0.565  -0.728 ? ? ? ? ?   0.545  -0.877   1.165  -1.671   0.621   0.802  -1
 -1.161  -0.604   1.657  -0.744  -1.021  -2.542  -0.641  -0.858  -1.052  -0.565  -2.357 ? ? ? ? ?   0.753   0.198  -0.867  -3.267   0.621   0.802  -1
 -0.642   0.393  -1.581   0.739  -3.000  -2.542  -0.641  -0.858  -1.052  -0.565  -2.357 ? ? ? ? ?  -0.517  -1.593  -0.566  -0.444   0.621   0.802  -1
 -0.493   0.262   0.244   0.371  -3.000  -2.542  -0.641  -0.858  -1.052  -0.565  -2.357 ? ? ? ? ?  -2.498  -1.772  -0.867  -1.104   0.621   0.802  -1
 -0.506  -0.706  -1.116   1.005   0.260   0.237   2.845  -0.785  -0.988  -0.431  -0.051 ? ? ? ? ?   0.398  -1.450   1.316   0.555   0.621   0.802  -1
 -0.328  -0.341  -0.549   0.623  -0.190  -0.518  -0.116   0.713   0.321  -0.565   1.318 ? ? ? ? ?   0.656   0.664  -0.415   0.634  -0.297  -0.008  -1
  0.724  -0.273   0.365   1.154   0.676   0.738  -0.079  -0.858   1.637  -0.529   1.012  -0.241  -0.226  -0.175  -0.183  -0.174   0.416   0.485  -0.716   0.178   0.621  -0.008  -1
  0.730  -0.240   0.072   0.786   1.678   1.131  -0.067  -0.814   1.615  -0.565   0.952  -0.243  -0.229  -0.178  -0.188   0.322   0.416   0.341  -0.867  -0.247   0.405   0.612  -1
  0.285  -0.891  -0.143   0.079   0.937   0.993  -0.491  -0.748   1.861  -0.485   0.547  -0.249  -0.230  -0.179  -0.193   0.199   0.736  -0.124  -0.566  -0.617  -0.297  -0.962  -1
  1.173  -0.377  -0.220   1.030   0.992   0.467  -0.416  -0.639   1.599  -0.365  -0.447  -0.244  -0.221  -0.174  -0.177  -0.703   0.736  -0.554  -0.077   0.099   0.621  -0.580  -1
  0.950  -0.409  -0.325   1.487   0.676   0.724   1.533   0.238  -0.861  -0.298   1.677 ? ? ? ? ?  -0.633   1.237  -0.716   0.351   0.621  -0.771  -1
  1.119   0.615  -1.194   0.455   1.184   1.220   2.913  -0.858  -0.948  -0.478   1.241  -0.247  -0.230  -0.178  -0.190  -0.218  -0.002   0.771  -0.716  -0.247   0.621  -0.199  -1
 -2.084  -1.523  -0.901  -1.669  -0.700  -0.474   2.954  -0.822  -0.953  -0.565  -0.221  -0.249  -0.230  -0.179  -0.179   0.782   0.296   0.449  -0.867   0.296   0.189  -0.771  -1
 -0.073   0.726  -1.238   0.192   0.689   0.772   0.697  -0.858   0.928  -0.471   0.918  -0.248  -0.227  -0.175  -0.087  -1.003 ? ? ?   0.610   0.621   0.230  -1
 -1.618  -1.133  -0.055  -1.904  -0.403  -0.212  -0.641   2.645  -0.953  -0.519  -0.618   1.691  -0.209  -0.114  -0.080   1.307  -0.246  -0.877   1.015 ? ? ?   1
 -1.343  -3.391  -0.069  -1.538  -0.213  -0.038 ? ? ? ?  -0.509  -0.092  -0.221  -0.162  -0.114   0.802 ? ? ?  -0.192   0.621   0.802   1
 -1.681  -0.315   0.455  -1.515   0.057   0.207  -0.545   2.514  -1.052  -0.337  -0.618  -0.167 ? ?  -0.123 ?  -0.419   1.523  -0.867  -0.019   0.621   0.802   1
 -0.634  -0.902  -0.675  -1.588  -0.165   0.005  -0.379   2.201  -0.978  -0.254   0.389   0.343  -0.181  -0.073   0.136   0.496   0.349  -0.124  -0.867  -2.095   0.621   0.802   1
 -0.605  -1.056  -1.625   0.142  -0.159   0.013 ? ? ? ?  -0.454  -0.233 ? ?  -0.158 ? ? ? ?   0.783   0.621   0.421   1
 -0.138   0.225  -0.616  -1.471  -0.072   0.081  -0.641   2.525  -0.816  -0.565  -0.349   0.234  -0.196  -0.158   0.014   1.227   0.140   1.523  -0.867  -1.246   0.621   0.802   1
 -1.462  -0.759  -1.271  -2.191   0.170   0.303 ? ? ? ?   0.243  -0.055  -0.231  -0.144  -0.077   0.500  -2.387   1.380  -0.867   0.178   0.621   0.802   1
  0.293  -0.535  -1.294  -1.926   0.244   0.317  -0.531   2.258  -0.958  -0.172   0.019  -0.148  -0.208 ?  -0.127 ?   0.465   0.664  -0.867  -4.006   0.405   0.612   1
 -2.251  -6.543  -0.972  -2.099  -0.049   0.102  -0.391   2.491  -0.999  -0.565  -0.171  -0.228 ? ? ? ? ? ? ?  -0.019  -4.343  -3.584   1
 -1.598  -0.729  -1.217  -0.878   0.362   0.481  -0.504   1.932  -0.704  -0.160  -0.136  -0.166 ? ?  -0.101 ?  -2.854   1.523  -0.867   0.123   0.621   0.612   1
 -0.125   0.438  -1.332  -0.658   0.042   0.193  -0.616   2.676  -0.969  -0.565  -1.225 ? ? ? ? ? ? ? ? ? ? ?   1
 -2.086  -0.808  -1.120  -0.754   0.304   0.429 ? ? ? ?  -1.024 ? ? ? ? ? ? ? ? ? ? ?   1
